time,seed,eigh
372,13,2.3267322030395445
376,13,5.365028940096995
380,13,6.686442692696024
384,13,2.3332632408707377
388,13,10.176521825269864
392,13,3.038716575020926
396,13,2.4447198985681933
0,17,2.183349744879889
4,17,2.733269537083584
8,17,3.0786836474108505
12,17,5.510702121714673
16,17,4.43000427212806
20,17,4.943053050935116
24,17,2.673403935012692
28,17,4.60765782041235
32,17,2.6707800830007518
36,17,2.468541261843821
40,17,3.365392264876798
44,17,2.1997760802757274
48,17,4.140179898780175
52,17,6.6958286833499985
56,17,6.079265093876036
60,17,4.556903711785231
64,17,2.716366324239633
68,17,3.030863641035127
72,17,2.3905481399554414
76,17,3.168636476602047
80,17,6.392345347167978
84,17,2.652706782383141
88,17,4.682647972168058
92,17,1.7725604263925796
96,17,2.111220897564929
100,17,3.499539965151493
104,17,2.642915640626899
108,17,2.8010565119135733
112,17,3.371797558284008
116,17,5.030651914091828
120,17,3.5553786961565206
124,17,2.292888459494908
128,17,3.327053360276896
132,17,2.197955140207744
136,17,2.450286585742781
140,17,3.7756502229591384
144,17,1.8292199995179015
148,17,5.677924340178898
152,17,3.335989445413736
156,17,4.371863599419734
160,17,4.039492549280193
164,17,3.1229829513685634
168,17,3.5983337323920677
172,17,9.27031341791623
176,17,7.46770196977091
180,17,5.153622650985461
184,17,3.2430720206091657
188,17,3.1185621017476266
192,17,3.0620207124995127
196,17,2.243270415744458
200,17,2.195177774632788
204,17,3.3321515776093036
208,17,4.760981599300405
212,17,2.1335243297834876
216,17,2.8173249271410357
220,17,4.488878347314357
224,17,9.17337742776868
228,17,3.5179554188140405
232,17,4.129328151549565
236,17,7.085452824795247
240,17,5.697037910585521
244,17,2.450046707903836
248,17,2.2510102785814037
252,17,3.8220049342436027
256,17,3.54651749034007
260,17,6.261481815942552
264,17,3.9114450036807193
268,17,9.135685101541673
272,17,2.1876295883388877
276,17,5.8532030172485525
280,17,7.2817722668934035
284,17,6.793994578202693
288,17,11.595142095555927
292,17,4.368691365061771
296,17,7.933003799520853
300,17,3.242157173400933
304,17,8.989324200311474
308,17,4.05898712921668
312,17,3.556009830193165
316,17,4.154437283201132
320,17,5.358393178279008
324,17,1.7401539232483223
328,17,6.531661370504694
332,17,2.5740644737227556
336,17,3.2145207678863996
340,17,3.386921084523293
344,17,5.501215800504582
348,17,4.571334099881627
352,17,3.0338400616748324
356,17,2.3783903674676314
360,17,5.080437735373061
364,17,2.4980888350403827
368,17,4.80221214268091
372,17,2.0859990156357404
376,17,3.1165777809425705
380,17,6.2692912998184935
